ANNALS of the American Academy of Political and Social Science
Academy of Management Journal
Acta Sociologica
American Historical Review
American Journal of Sociology
American Political Science Review
Armed Forces & Society
Asian Economic Papers
Asian Perspective
Asian Security
Asian Survey
Behavioral Science
Berkeley Undergraduate Journal
British Journal of Political Science
Canadian Journal of Political Science/Revue canadienne de science politique
China Quarterly
Communist and Post-Communist Studies
Communist and Post-communist Studies - COMMUNIST POST-COMMUNIST STUD
Comparative Politics
Contemporary Politics
Contemporary Sociology
Contemporary Southeast Asia
Democratization
European Journal of Political Research
European Political Science
Foreign Affairs
Foreign Policy
Global Asia
Independent Review
International Advances in Economic Research
International Journal of Politics, Culture, and Society
International Labor and Working-Class History
International Organization
International Security
Issues & Studies
Journal of Asian Studies
Journal of Asian Studies - J ASIAN STUD
Journal of Asian and African Studies
Journal of Contemporary Asia - J CONTEMP ASIA
Journal of East Asian Affairs
Journal of East Asian Studies
Journal of Economic Integration
Journal of Economic Perspectives
Journal of International Affairs
Journal of International and Area Studies
Journal of Korean Studies (1979-)
Journal of Political & Military Sociology
Journal of Politics
Journal of Third World Studies
Korean Studies
Millennium
Modern China
New Left Review
Nonproliferation Review
North Korean Review
Nuncius
Oral History Review
Pacific Affairs
Perspectives on Politics
Political Theory
Politics and the Life Sciences
Science & Society
Slavic Review
Slavonic and East European Review
Soviet Studies
Studies in Comparative Communism
Systems Research and Behavioral Science
Systems practice
Third World Quarterly
World Politics
… . Washington, DC, Korea Economic Institute of …
