NodeIndex,NodeLabel,NodeType,NodeShape,NodeSize,NodeColor
95,"Eisenstadt, Shmuel Noah; Roniger, Luis",Author,Circle,1,Light Blue
96,"Erickson, Bonnie H.; Nosanchuk, T. A.; Mostacci, Liviana; Dalrymple, Christina Ford",Author,Circle,1,Light Blue
97,"Eunyoung, Soh",Author,Circle,1,Light Blue
98,"Faust, Katherine",Author,Circle,1,Light Blue
99,"Fennell, Mary L.; Barchas, Patricia R.; Cohen, Elizabeth G.; McMahon, Anne M.; Hildebrand, Polly",Author,Circle,1,Light Blue
100,"Ferguson, R. Brian",Author,Circle,1,Light Blue
101,"Fernandez, Roberto M.; McAdam, Doug",Author,Circle,1,Light Blue
102,"Firth, Raymond",Author,Circle,1,Light Blue
103,"Fischer, Wolfram; Lundgreen, Peter",Author,Circle,1,Light Blue
104,"Flores, Alexandra; Cole, Jennifer C.; Dickert, Stephan; Eom, Kimin; Jiga-Boy, Gabriela M.; Kogut, Tehila; Loria, Riley; Mayorga, Marcus; Pedersen, Eric J.; Pereira, Beatriz",Author,Circle,1,Light Blue
105,"Foltz, William J.",Author,Circle,1,Light Blue
106,"Formisano, Ronald P.",Author,Circle,1,Light Blue
107,"Fortes, Meyer",Author,Circle,1,Light Blue
108,"Foster, George M.",Author,Circle,1,Light Blue
109,"Freedman, Jim",Author,Circle,1,Light Blue
110,"Freeman, Linton C.",Author,Circle,1,Light Blue
111,"Friedell, Morris F.",Author,Circle,1,Light Blue
112,"Friedrich, Paul",Author,Circle,1,Light Blue
113,"Fuller, Sylvia; Martin, John Levi",Author,Circle,1,Light Blue
114,"Ganshof, F. L.",Author,Circle,1,Light Blue
115,"Garlan, Yvon",Author,Circle,1,Light Blue
116,"Garry, Wills",Author,Circle,1,Light Blue
117,"Gauja, Anika",Author,Circle,1,Light Blue
118,"Ginsburg, Benson; Allee, William",Author,Circle,1,Light Blue
119,"Glanzer, Murray; Glaser, Robert",Author,Circle,1,Light Blue
120,"Gong, Qian; Rawnsley, Gary",Author,Circle,1,Light Blue
121,"Goodall, Jane",Author,Circle,1,Light Blue
122,"Gottweis, Herbert; Kim, Byoungsoo",Author,Circle,1,Light Blue
123,"Gould, Roger V.",Author,Circle,1,Light Blue
124,"Gouldner, Alvin W.",Author,Circle,1,Light Blue
125,"Goyal, Sanjeev; Vega-Redondo, Fernando",Author,Circle,1,Light Blue
126,"Granovetter, Mark",Author,Circle,1,Light Blue
127,"Graziano, Luigi",Author,Circle,1,Light Blue
128,"Grossman, Jerrold W.",Author,Circle,1,Light Blue
129,"Grzelczyk, Virginie",Author,Circle,1,Light Blue
130,"Gu, Kang Myung; Ha, Se Hun",Author,Circle,1,Light Blue
131,"Guasti, Laura",Author,Circle,1,Light Blue
132,"Gunawardana, Ralh",Author,Circle,1,Light Blue
133,"Ha, Nam-Gil; Mangan, James A.",Author,Circle,1,Light Blue
134,"Hage, Per",Author,Circle,1,Light Blue
135,"Hahm, Chaibong",Author,Circle,1,Light Blue
136,"Haing-Ja, Kim",Author,Circle,1,Light Blue
137,"Hamilton, Charles V.",Author,Circle,1,Light Blue
138,"Hammer, Muriel",Author,Circle,1,Light Blue
139,"Hammond, Peter B.",Author,Circle,1,Light Blue
140,"Han, JeongHun",Author,Circle,1,Light Blue
141,"Han, Sungjoo",Author,Circle,1,Light Blue
142,"Han, Yung Chul",Author,Circle,1,Light Blue
143,"Hanfmann, Eugenia",Author,Circle,1,Light Blue
144,"Hanks, Lucien M.",Author,Circle,1,Light Blue
145,"Haraway, Donna J.",Author,Circle,1,Light Blue
146,"Harrison, White",Author,Circle,1,Light Blue
147,"Harton, H. C.; Latané, B.",Author,Circle,1,Light Blue
148,"Haskard, Alec",Author,Circle,1,Light Blue
149,"Hauser, Marc",Author,Circle,1,Light Blue
150,"Haviland, William A.",Author,Circle,1,Light Blue
